English,Spanish,Portuguese
you,tú,vocês
I,yo,eu
to,para,para
the,la,a
a,a,uma
and,y,e
that,ese,que
it,eso,isto
of,de,do
me,me,mim
what,qué,que
is,es,é
in,en,em
this,esta,isto
know,saber,conhecer
I'm,estoy,Eu estou
for,por,para
no,No,não
have,tener,tenho
my,mi,minha
don't,no,não
just,sólo,somente
not,no,não
do,hacer,Faz
be,ser,ser
on,en,em
your,tu,sua
was,fue,estava
we,nosotros,nós
it's,es,Está
with,con,com
so,asi que,assim
but,pero,mas
all,todos,tudo
well,bien,Nós vamos
are,son,está
he,él,ele
oh,Oh,Oh
about,acerca de,cerca de
right,derecho,certo
you're,estás,você é
get,obtener,obter
here,aquí,aqui
out,afuera,Fora
going,yendo,vai
like,como,Como
yeah,Si,sim
if,Si,E se
her,ella,sua
she,ella,ela
can,puede,posso
up,arriba,pra cima
want,querer,quer
think,pensar,pensar
that's,esa es,isso é
now,ahora,agora
go,Vamos,ir
him,él,ele
at,a,no
how,cómo,Como as
got,obtuvo,pegou
there,allí,lá
one,uno,1
did,hizo,fez
why,por qué,Por quê
see,ver,Vejo
come,ven,vir
good,bien,Boa
they,ellos,elas
really,De Verdad,mesmo
as,como,Como
would,haría,gostaria
look,Mira,Veja
when,Cuándo,quando
time,tiempo,Tempo
will,voluntad,vai
okay,okey,OK
back,espalda,voltar
can't,hipocresía,não pode
mean,significar,significar
tell,contar,dizer
I'll,voy a,eu vou
from,desde,a partir de
hey,Oye,ei
were,fueron,nós somos
he's,él es,ele é
could,podría,poderia
didn't,no,não
yes,sí,sim
his,su,seu
been,estado,sido
or,o,ou
something,algo,algo
who,OMS,quem
because,porque,Porque
some,algunos,algum
had,tenía,teve
then,luego,então
say,decir,dizer
ok,OK,OK
take,llevar,toma
an,un,um
way,manera,caminho
us,nosotros,nós
little,pequeño,pouco
make,hacer,faço
need,necesitar,precisar
gonna,ir a,vai
never,Nunca,nunca
we're,fueron,eram
too,también,também
love,amor,amor
she's,ella esta,ela é
I've,He,Eu tenho
sure,Por supuesto,certo
them,ellos,eles
more,más,mais
over,sobre,sobre
our,Ntra,nosso
sorry,lo siento,desculpa
where,donde,Onde
what's,qué,o que é
let,dejar,deixar
thing,cosa,coisa
am,soy,sou
maybe,quizás,pode ser
down,abajo,baixa
man,hombre,homem
has,posee,tem
uh,Oh,Uh
very,muy,muito
by,por,de
there's,hay,há
should,debería,devemos
anything,cualquier cosa,algo
said,dicho,disse
much,mucho,Muito de
any,ninguna,algum
life,la vida,vida
even,incluso,até
off,apagado,desligado
please,por favor,por favor
doing,haciendo,fazendo
thank,gracias,agradecer
give,dar,dar
only,solamente,só
thought,pensamiento,pensado
help,ayuda,ajuda
two,dos,dois
talk,hablar,falar
people,gente,pessoas
god,Dios,Deus
still,todavía,ainda
wait,Espere,esperar
into,en,para dentro
find,encontrar,encontrar
nothing,nada,nada
again,de nuevo,novamente
things,cosas,coisas
let's,Vamos,vamos
doesn't,no,não
call,llamada,ligar
told,dijo,contado
great,genial,ótimo
before,antes de,antes da
better,mejor,Melhor
ever,alguna vez,sempre
night,noche,noite
than,que,que
away,fuera,longe
first,primero,primeiro
believe,creer,acreditam
other,otro,outro
feel,sentir,sentir
everything,todo,tudo
work,trabajo,trabalhar
you've,tienes,você tem
fine,multa,multar
home,casa,casa
after,después,depois
last,último,durar
these,estas,esses
day,día,dia
keep,guardar,guarda
does,lo hace,faz
put,poner,por
around,alrededor,por aí
stop,detener,Pare
they're,ellos son,eles estão
I'd,Identificación,Identidade
guy,chico,cara
long,largo,grandes
isn't,no es,não é
always,siempre,sempre
listen,escuchar,ouço
wanted,buscado,procurado
Mr.,Señor.,Senhor.
guys,tipo,rapazes
huh,eh,Hã
those,esos,Essa
big,grande,grande
lot,lote,muito
happened,sucedió,ocorrido
thanks,Gracias,obrigado
won't,no lo hará,não vai
trying,difícil,tentando
